11:15:10 AM Nov 12, 2013 > INFO : intelha3:2001: Monitor suspended by:intelha3:2001
11:15:15 AM Nov 12, 2013 > INFO : intelha3:2001: Monitor resumed by:intelha3:2001
11:15:15 AM Nov 12, 2013 > INFO :HVTelnetClient:Check Monitor -> intelha3:2001 isAlive()=true
11:15:15 AM Nov 12, 2013 > HVTelnetClient: Reopen connection to: intelha3:2001
11:15:34 AM Nov 12, 2013 > intelha3:2001:HVON
11:34:15 AM Nov 12, 2013 > ERROR :HVComand:InterruptedException
11:34:15 AM Nov 12, 2013 > ALARM : HVTelnetClient: NO response from: intelha3:2001
11:34:15 AM Nov 12, 2013 > INFO : intelha3:2001: Monitor suspended by:intelha3:2001
11:34:27 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:35:00 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:35:33 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:36:06 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:36:39 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:37:12 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:37:45 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:38:18 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:38:51 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:39:24 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:39:57 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:40:30 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:41:03 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:41:36 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:42:09 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:42:42 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:43:15 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:43:48 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:44:21 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:44:54 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:45:27 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:46:00 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:46:33 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:47:07 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:47:40 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:48:13 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:48:46 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:49:19 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:49:52 AM Nov 12, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:intelha3:2001
11:50:13 AM Nov 12, 2013 > Begin initialization...

11:50:16 AM Nov 12, 2013 > HVTelnetClient:Couldn't get I/O for the connection to:intelha3:2001
11:50:16 AM Nov 12, 2013 > HVTelnetClient:Couldn't get I/O for the connection to:intelha3:2001
11:50:16 AM Nov 12, 2013 > HVTelnetClient:Couldn't get I/O for the connection to:intelha3:2001
11:50:16 AM Nov 12, 2013 > ERROR : Host:intelha3:2001 not initialized
11:50:16 AM Nov 12, 2013 > End initialization
11:50:16 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_E.map
11:50:16 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_dE.map
11:50:17 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_gc.map
11:50:17 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_sh.map
11:50:17 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s1.map
11:50:17 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_ps.map
11:50:17 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s2m.map
11:50:17 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl2.map
11:50:17 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_gc.map
11:50:17 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s1.map
11:50:17 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl1.map
11:50:17 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s2m.map
11:50:17 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_lumi.map
11:50:17 AM Nov 12, 2013 > INIT TIME:4 (sec)
11:50:17 AM Nov 12, 2013 > Start HV server -> port: 5555
03:08:31 PM Nov 12, 2013 > Begin initialization...

03:08:31 PM Nov 12, 2013 > HVTelnetClient:Couldn't get I/O for the connection to:intelha3:2001
03:08:31 PM Nov 12, 2013 > HVTelnetClient:Couldn't get I/O for the connection to:intelha3:2001
03:08:31 PM Nov 12, 2013 > HVTelnetClient:Couldn't get I/O for the connection to:intelha3:2001
03:08:31 PM Nov 12, 2013 > ERROR : Host:intelha3:2001 not initialized
03:08:31 PM Nov 12, 2013 > End initialization
03:08:31 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_E.map
03:08:31 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_dE.map
03:08:31 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_gc.map
03:08:31 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_sh.map
03:08:32 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s1.map
03:08:32 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_ps.map
03:08:32 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s2m.map
03:08:32 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl2.map
03:08:32 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_gc.map
03:08:32 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s1.map
03:08:32 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl1.map
03:08:32 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s2m.map
03:08:32 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_lumi.map
03:08:32 PM Nov 12, 2013 > INIT TIME:1 (sec)
03:08:32 PM Nov 12, 2013 > Start HV server -> port: 5555
03:12:05 PM Nov 12, 2013 > Begin initialization...

03:12:15 PM Nov 12, 2013 > Login Time Out: intelha3:2001
03:12:15 PM Nov 12, 2013 > Login Time Out: intelha3:2001
03:12:15 PM Nov 12, 2013 > Login Time Out: intelha3:2001
03:12:15 PM Nov 12, 2013 > ERROR : Host:intelha3:2001 not initialized
03:12:15 PM Nov 12, 2013 > End initialization
03:12:15 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_E.map
03:12:15 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_dE.map
03:12:16 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_gc.map
03:12:16 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_sh.map
03:12:16 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s1.map
03:12:16 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_ps.map
03:12:16 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s2m.map
03:12:16 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl2.map
03:12:16 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_gc.map
03:12:16 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s1.map
03:12:16 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl1.map
03:12:16 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s2m.map
